type,titre,prix,localisation,surface,pièces,chambres,salles_de_bains,caractéristiques,description,prix_m2,parking,pool,furnished,bedrooms,bathrooms,city,standing,étage,état
Appartement,Appartement 2/3chambres salon jamais habiter,2940000.0,"Guéliz,Marrakech",125.0,2.0,2.0,2.0,"Terrasse, Ascenseur, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité","Appartement de 125m² 3 chambres 3 salles de bain situé à Guéliz,Marrakech au prix de 2 940 000 DH (23 520 DH/m²) haut standing À ne pas manquer !",23520.0,False,False,False,2.0,2.0,Marrakech,haut standing,1.0,neuf
Appartement,Superbe appartement à vendre à Guéliz. Surface de 81 m²,1377000.0,"Guéliz,Marrakech",81.0,2.0,2.0,1.0,"Terrasse, Ascenseur","Appartement de 81m² 2 chambres 1 salle de bain situé à Guéliz,Marrakech au prix de 1 377 000 DH (17 000 DH/m²) rénové, moderne, standing Belle opportunité !",17000.0,False,False,False,2.0,1.0,Marrakech,haut standing,1.0,neuf
Appartement,Appartement 156m sans vis à vis a vendre a val fleuri,2650000.0,"ValFleury, Casablanca",156.0,2.0,2.0,2.0,"Terrasse, Garage, Ascenseur, Concierge, Salon européen, Cheminée, Climatisation, Porte blindée, Cuisine équipée","Appartement de 156m² 4 chambres 3 salles de bain situé à ValFleury, Casablanca au prix de 2 650 000 DH (16 987 DH/m²) standing, vue dégagée, moderne À visiter rapidement !",16987.17948717949,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,"Appartement vide en location 
maarif extension",6200.0,"MaârifExtension, Casablanca",86.0,2.0,2.0,1.0,"Terrasse, Garage, Ascenseur, Salon européen, Climatisation, Chauffage central, Sécurité, Double vitrage, Porte blindée, Cuisine équipée","Appartement de 86m² 2 chambres 1 salle de bain situé à MaârifExtension, Casablanca au prix de 6 200 DH (72 DH/m²) lumineux, vue dégagée, calme Contactez-nous pour plus d'informations.",72.09302325581395,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement à l'achat à BD Abd khetabi. 2 belles chambres,1292000.0,"Guéliz,Marrakech",76.0,2.0,2.0,2.0,,"Appartement de 76m² 2 chambres 2 salles de bain situé à Guéliz,Marrakech au prix de 1 292 000 DH (17 000 DH/m²) standing Disponible immédiatement.",17000.0,False,False,False,2.0,2.0,Marrakech,haut standing,1.0,neuf
Appartement,Appartement en vente à Rte Casablanca. 2 chambres,1200000.0,"Guéliz,Marrakech",73.0,2.0,2.0,1.0,Cuisine équipée,"Appartement de 73m² 2 chambres 1 salle de bain situé à Guéliz,Marrakech au prix de 1 200 000 DH (16 438 DH/m²) standing Belle opportunité !",16438.35616438356,False,False,False,2.0,1.0,Marrakech,haut standing,1.0,neuf
Appartement,Vente d'un bel appartement à Hay Hassani. Surface totale 97...,1330000.0,"Oulfa,Casablanca",97.0,2.0,2.0,2.0,"Piscine, Sécurité","Appartement de 97m² 3 chambres 2 salles de bain situé à Oulfa,Casablanca au prix de 1 330 000 DH (13 711 DH/m²) moyen standing À visiter rapidement !",13711.340206185569,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Vente d'un bel appartement à Hay Hassani. 2 belles chambres,1110000.0,"Oulfa,Casablanca",81.0,2.0,2.0,2.0,"Piscine, Sécurité","Appartement de 81m² 2 chambres 2 salles de bain situé à Oulfa,Casablanca au prix de 1 110 000 DH (13 704 DH/m²) moderne, ensoleillé, rénové Disponible immédiatement.",13703.703703703704,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement de 120 m² à Dar Bouazza,2357500.0,Casablanca,120.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Piscine, Cheminée, Sécurité","Appartement de 120m² 3 chambres 2 salles de bain situé à Casablanca au prix de 2 357 500 DH (19 646 DH/m²) ensoleillé, lumineux, calme Belle opportunité !",19645.83333333333,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,"Appartement 128m en 2chambres, salon",2380000.0,"Guéliz,Marrakech",128.0,2.0,2.0,2.0,"Terrasse, Ascenseur, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité","Appartement de 128m² 2 chambres 2 salles de bain situé à Guéliz,Marrakech au prix de 2 380 000 DH (18 594 DH/m²) ensoleillé, rénové, moderne À ne pas manquer !",18593.75,False,False,False,2.0,2.0,Marrakech,haut standing,1.0,neuf
